,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,minimum_amount_spent,rating_score
0,138592,Home in San Francisco · ★4.91 · 4 bedrooms · 4 beds · 2 baths,648553,Julie & Brad,Noe Valley,37.75635,-122.42864,Entire home/apt,1250,5,34,2023-08-18,0.23,1,80,2,Pending Application,145,6250,0.23448275862068965
1,474107,Home in San Francisco · ★4.91 · 2 bedrooms · 2 beds · 1 shared bath,2318089,Inés,Excelsior,37.72369,-122.42865,Private room,79,2,149,2023-11-14,1.92,1,196,20,STR-0007772,57,158,2.6140350877192984
2,487019,Rental unit in San Francisco · ★4.53 · 3 bedrooms · 4 beds · 2 baths,2410550,Cecile,Potrero Hill,37.75622,-122.39821,Entire home/apt,249,5,36,2023-07-18,0.26,1,202,7,STR-0001599,176,1245,0.20454545454545456
5,1174701,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,6429436,Janette,Russian Hill,37.80673,-122.41998,Entire home/apt,271,2,1,2023-07-17,0.21,9,361,1,Exempt,177,542,0.005649717514124294
8,1550913,Guest suite in San Francisco · ★4.87 · 1 bedroom · 1 bed · 1 bath,497158,Seth And Alexa,Mission,37.75141,-122.4198,Entire home/apt,150,5,234,2023-10-11,1.88,1,52,15,STR-0000051,91,750,2.5714285714285716
9,1574848,Rental unit in San Francisco · ★4.70 · 1 bedroom · 1 bed · 1 bath,4106299,Henna,North Beach,37.80101,-122.4022,Private room,110,30,23,2017-12-16,0.21,3,354,0,1082059,2216,3300,0.010379061371841155
10,1578597,Guest suite in San Francisco · ★4.70 · Studio · 1 bed · 1 bath,8390846,Jon-Pierre (& Joel),Potrero Hill,37.75956,-122.40186,Entire home/apt,156,1,479,2023-11-17,4.02,1,345,13,2023-004095STR,54,156,8.87037037037037
12,958,Serviced apartment in San Francisco · ★4.87 · 1 bedroom · 2 beds · 1 bath,1169,Holly,Western Addition,37.77028,-122.43317,Entire home/apt,181,2,415,2023-11-06,2.37,1,204,44,City Registration Pending,65,362,6.384615384615385
15,8339,Condo in San Francisco · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,24215,Rosy,Western Addition,37.77564,-122.43642,Entire home/apt,675,5,28,2019-06-28,0.16,2,365,0,STR-0000264,1657,3375,0.016898008449004225
16,8739,Condo in San Francisco · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7149,Ivan & Wendy,Mission,37.7603,-122.42197,Private room,122,1,805,2023-11-12,4.61,2,0,44,STR-0000028,59,122,13.64406779661017
17,10537,Place to stay in San Francisco · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,36752,Teresa,Bayview,37.7175,-122.39698,Private room,95,1,23,2023-09-16,0.14,2,365,5,2022-011003STR,116,95,0.19827586206896552
21,12522,Rental unit in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1.5 shared baths,18431,Brenda,Castro/Upper Market,37.76237,-122.42992,Private room,99,3,471,2023-11-13,2.79,1,46,31,STR-0000057,58,297,8.120689655172415
23,18904,Home in San Francisco · ★4.89 · 1 bedroom · 1 bed · 1 private bath,72464,Patrick,Western Addition,37.77247,-122.43301,Private room,126,2,469,2023-11-20,3.21,1,63,31,STR-0000094,51,252,9.196078431372548
24,21334,Loft in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 bath,81455,Joe,Nob Hill,37.7962,-122.41562,Entire home/apt,149,30,124,2023-08-01,0.75,1,354,1,City registration pending,162,4470,0.7654320987654321
25,24463,Condo in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 private bath,99128,Cathryn,Potrero Hill,37.75565,-122.40125,Private room,157,2,377,2023-11-19,2.29,2,356,28,STR-0000036,52,314,7.25
26,24723,Guest suite in San Francisco · ★4.85 · 1 bedroom · 2 beds · 1 bath,100800,Cynthia,Pacific Heights,37.78897,-122.43376,Entire home/apt,181,5,443,2023-11-26,2.66,2,46,47,Pending Application,45,905,9.844444444444445
27,25094,Home in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,103339,Bruce,Glen Park,37.74159,-122.43159,Private room,165,5,68,2023-11-04,0.75,1,364,10,STR-0002528,67,825,1.0149253731343284
29,27028,Condo in San Francisco · ★4.78 · 1 bedroom · 2 beds · 1 private bath,7149,Ivan & Wendy,Mission,37.76005,-122.42208,Private room,164,1,27,2023-03-06,0.26,2,0,1,STR-0000028,310,164,0.08709677419354839
30,29373,Home in San Francisco · ★4.92 · 2 bedrooms · 2 beds · 2 baths,126263,Cecilia,Bernal Heights,37.73871,-122.41167,Entire home/apt,190,4,25,2023-10-02,0.17,2,0,7,STR-0000280,100,760,0.25
31,29557,Rental unit in San Francisco · ★4.97 · 1 bedroom · 2 beds · 1 bath,126036,Gigi,Outer Richmond,37.77885,-122.50534,Entire home/apt,200,2,126,2023-11-26,0.78,1,0,15,STR-0001135,45,400,2.8
32,32414,Rental unit in San Francisco · ★4.81 · 2 bedrooms · 2 beds · 1 bath,140251,Lisa,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,93,2019-09-29,0.57,1,306,0,City registration pending,1564,4500,0.05946291560102302
33,33578,Home in San Francisco · ★4.95 · 1 bedroom · 1 bed · 1 bath,145258,Kepa,Potrero Hill,37.76451,-122.39643,Entire home/apt,290,1,749,2023-11-30,4.66,2,349,42,STR-0000073,41,290,18.26829268292683
34,38935,Rental unit in San Francisco · ★4.98 · 1 bedroom · 1 bed · 1 private bath,167046,Nani,Mission,37.7493,-122.41965,Private room,145,3,44,2023-06-25,0.27,2,5,3,2023-004141STR,199,435,0.22110552763819097
37,41172,Home in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 private bath,53314,Sue,Bernal Heights,37.74132,-122.41818,Private room,115,30,301,2023-09-08,1.86,1,365,3,Pending Application,124,3450,2.4274193548387095
38,41423,Cottage in San Francisco · ★4.47 · Studio · 1 bed · 1 bath,180715,Dana,Glen Park,37.7369,-122.43451,Entire home/apt,121,30,157,2023-08-13,0.97,1,365,2,30 Day Minimum Stay Required,150,3630,1.0466666666666666
46,53280,Home in San Francisco · ★4.89 · 1 bedroom · 1 bed · 1 private bath,126263,Cecilia,Bernal Heights,37.73805,-122.41165,Private room,95,3,145,2019-12-15,0.91,2,4,0,STR-0000280,1487,285,0.09751176866173504
52,57561,Rental unit in San Francisco · ★4.63 · 1 bedroom · 1 bed · 1 bath,272890,Theodore,Bernal Heights,37.74684,-122.41548,Entire home/apt,178,30,227,2023-09-11,1.43,1,365,6,City registration pending,121,5340,1.8760330578512396
53,57676,Rental unit in San Francisco · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,142882,Jessica And Sebouh,Mission,37.75758,-122.42043,Private room,99,30,121,2019-09-21,0.79,2,0,0,STR-0000875,1572,2970,0.07697201017811704
54,59702,Cottage in San Francisco · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,287136,Toby,Bernal Heights,37.74188,-122.4127,Private room,100,30,192,2019-07-20,1.27,1,173,0,STR-0000109,1635,3000,0.11743119266055047
