,neighbourhood,room_type,price,num_of_listings,number_of_reviews,minimum_nights,availability_365,days_since_last_review,minimum_amount_spent,rating_score,latitude,longitude,calculated_host_listings_count,number_of_reviews_ltm,reviews_per_month
0,Bayview,Entire home/apt,209.72413793103448,58,74.86206896551724,4.586206896551724,140.86206896551724,189.91379310344828,888.551724137931,1.2674447924055277,37.73233406701494,-122.3925251363403,1.8793103448275863,17.75862068965517,1.983103448275862
1,Bayview,Private room,70.34,50,67.7,6.16,179.12,174.26,346.74,1.1845475535191161,37.72914350063887,-122.39290715466741,4.42,18.9,2.1031999999999997
2,Bernal Heights,Entire home/apt,255.093567251462,171,86.77777777777777,7.578947368421052,126.18128654970761,219.43859649122808,1630.5672514619882,1.4050327100101703,37.74161442288169,-122.41528554811126,1.4912280701754386,16.046783625730995,1.6823391812865498
3,Bernal Heights,Private room,106.73846153846154,65,108.75384615384615,5.430769230769231,117.73846153846154,327.18461538461537,535.9846153846154,1.695754080849776,37.742016550161644,-122.4163025808615,3.2615384615384615,13.323076923076924,1.6927692307692308
4,Castro/Upper Market,Entire home/apt,363.40845070422534,142,99.85211267605634,9.070422535211268,132.40845070422534,210.0281690140845,2485.5281690140846,1.5798908941078433,37.761549606001005,-122.43552522552588,2.1690140845070425,17.711267605633804,1.766830985915493
5,Castro/Upper Market,Private room,193.5483870967742,62,139.20967741935485,2.9516129032258065,158.5,155.09677419354838,451.1774193548387,2.4480130720510287,37.76233242810664,-122.43423634438022,4.032258064516129,21.870967741935484,2.081290322580645
6,Chinatown,Entire home/apt,798.2424242424242,33,17.87878787878788,1.696969696969697,130.66666666666666,202.27272727272728,982.8181818181819,0.1795300225148693,37.79198131173279,-122.40773754558806,27.545454545454547,4.454545454545454,0.5648484848484848
7,Chinatown,Private room,250.08333333333334,36,84.27777777777777,1.75,248.69444444444446,698.9444444444445,492.8888888888889,1.7254035970083104,37.79167291388889,-122.40704540277778,11.36111111111111,29.666666666666668,2.660555555555556
8,Crocker Amazon,Entire home/apt,144.1764705882353,17,161.7058823529412,5.0588235294117645,104.82352941176471,140.52941176470588,658.6470588235294,3.1427930188089634,37.71109425270588,-122.43897999017724,1.5294117647058822,35.1764705882353,3.4341176470588235
9,Crocker Amazon,Private room,71.85714285714286,21,41.142857142857146,16.523809523809526,258.42857142857144,246.9047619047619,1031.095238095238,0.4926782788088178,37.71134649348208,-122.44318328921351,3.7142857142857144,10.380952380952381,1.1161904761904762
10,Diamond Heights,Entire home/apt,480.0,9,121.0,3.4444444444444446,130.88888888888889,193.88888888888889,1621.5555555555557,1.9402128978676367,37.74103765828923,-122.44074537723529,3.0,10.11111111111111,1.482222222222222
11,Diamond Heights,Private room,120.0,1,313.0,30.0,268.0,1342.0,3600.0,0.23323397913561847,37.74569,-122.44739,1.0,0.0,3.77
12,Downtown/Civic Center,Entire home/apt,311.2048780487805,205,17.819512195121952,2.5902439024390245,136.16585365853658,288.45365853658535,660.0390243902439,0.251663067813704,37.78610086230099,-122.41342030096534,26.819512195121952,5.458536585365854,0.8240487804878049
13,Downtown/Civic Center,Hotel room,1930.304347826087,23,27.565217391304348,1.173913043478261,171.47826086956522,508.5217391304348,1991.7826086956522,0.1779228678015298,37.78615016480537,-122.41059461640928,35.95652173913044,4.260869565217392,0.971304347826087
14,Downtown/Civic Center,Private room,1093.9438596491227,285,28.396491228070175,2.8280701754385964,117.58947368421053,816.659649122807,1351.4035087719299,0.281711082863748,37.78657340572209,-122.411735611926,27.67017543859649,5.540350877192982,0.6842456140350877
15,Downtown/Civic Center,Shared room,42.0,6,124.5,1.0,252.66666666666666,121.16666666666667,42.0,2.357715748263778,37.78777833333333,-122.41819333333335,11.0,52.0,2.935
16,Excelsior,Entire home/apt,160.875,56,105.57142857142857,9.089285714285714,105.10714285714286,134.32142857142858,1480.232142857143,1.6217876270769114,37.723837929877014,-122.42403698050568,1.7321428571428572,25.178571428571427,2.4894642857142855
17,Excelsior,Private room,65.20338983050847,59,72.47457627118644,9.169491525423728,167.10169491525423,143.47457627118644,463.3728813559322,0.965016113233871,37.72350465038117,-122.42401817157047,3.9661016949152543,15.305084745762711,1.7654237288135592
18,Excelsior,Shared room,262.0,1,44.0,30.0,182.0,419.0,7860.0,0.10501193317422435,37.72891,-122.40501,1.0,0.0,2.19
19,Financial District,Entire home/apt,968.1428571428571,21,8.619047619047619,7.761904761904762,91.9047619047619,827.7619047619048,2379.1428571428573,0.09332107359681598,37.78931716539198,-122.40125293330738,12.476190476190476,5.619047619047619,1.1028571428571428
20,Financial District,Hotel room,114.0,2,574.5,1.0,161.5,171.0,114.0,14.945723684210526,37.790369999999996,-122.406455,3.0,151.0,10.985
21,Financial District,Private room,1215.2894736842106,38,110.78947368421052,2.0789473684210527,209.76315789473685,271.8421052631579,1465.0526315789473,1.807684074908963,37.79001947368421,-122.40439526315788,10.342105263157896,16.605263157894736,1.6481578947368423
22,Financial District,Shared room,47.0,2,507.0,1.0,270.0,85.0,47.0,5.95422732362822,37.7937,-122.40417,3.0,18.0,3.265
23,Glen Park,Entire home/apt,240.16666666666666,36,93.52777777777777,6.694444444444445,128.44444444444446,219.75,1245.3055555555557,1.6085097602576404,37.73801786133428,-122.4303517392537,2.5,18.333333333333332,1.9475
24,Glen Park,Private room,137.8,5,71.6,13.8,328.8,218.6,1108.2,0.48193585093769997,37.739663058757884,-122.42822876502149,1.6,6.2,0.8400000000000001
25,Golden Gate Park,Private room,155.0,2,236.0,2.0,365.0,69.5,310.0,3.398528192371476,37.77322,-122.461325,5.0,10.0,2.04
26,Haight Ashbury,Entire home/apt,353.0617283950617,81,102.14814814814815,14.753086419753087,138.87654320987653,204.11111111111111,4716.641975308642,1.8095963081881807,37.76976502691936,-122.44619515112696,1.271604938271605,16.012345679012345,1.7545679012345679
27,Haight Ashbury,Hotel room,100.0,1,69.0,1.0,0.0,1403.0,100.0,0.04918032786885246,37.76944,-122.44992,43.0,0.0,0.98
28,Haight Ashbury,Private room,152.7872340425532,47,144.40425531914894,2.851063829787234,101.76595744680851,547.531914893617,870.2340425531914,1.9418841025641256,37.76956163639157,-122.44676694416901,16.51063829787234,17.319148936170212,2.012340425531915
29,Haight Ashbury,Shared room,55.36,25,39.04,1.0,0.0,1465.52,55.36,0.027119191727920808,37.770032,-122.44808119999999,43.0,0.0,0.5871999999999999
30,Inner Richmond,Entire home/apt,297.72527472527474,91,90.79120879120879,7.912087912087912,143.78021978021977,182.97802197802199,2059.230769230769,1.4266440665972122,37.77995406867737,-122.46542276203104,1.8131868131868132,18.857142857142858,1.9565934065934067
31,Inner Richmond,Private room,112.62962962962963,27,186.59259259259258,2.4444444444444446,192.11111111111111,82.33333333333333,301.0,3.424675817485053,37.779014255551935,-122.46521224555123,3.111111111111111,33.74074074074074,3.0225925925925927
32,Inner Sunset,Entire home/apt,364.030303030303,66,112.03030303030303,6.257575757575758,119.0909090909091,171.56060606060606,1504.1818181818182,1.9660371840457114,37.75987774982583,-122.4665252765622,1.8181818181818181,24.272727272727273,2.331818181818182
33,Inner Sunset,Private room,108.86666666666666,15,76.6,5.733333333333333,153.53333333333333,114.13333333333334,470.1333333333333,1.3489428256149825,37.76106001566146,-122.4676886049827,3.533333333333333,17.066666666666666,1.62
34,Lakeshore,Entire home/apt,164.08695652173913,23,87.69565217391305,3.3043478260869565,209.56521739130434,73.52173913043478,501.2173913043478,1.5541862304081153,37.73095337579987,-122.4840364602843,2.1739130434782608,26.869565217391305,2.627391304347826
35,Lakeshore,Private room,89.3529411764706,17,132.52941176470588,1.7647058823529411,181.8235294117647,109.17647058823529,159.41176470588235,1.9745098671478596,37.73207764705882,-122.48588470588236,11.0,13.823529411764707,1.7417647058823529
36,Marina,Entire home/apt,537.95,60,98.83333333333333,8.683333333333334,143.78333333333333,196.3,3395.0833333333335,1.7835020127650134,37.80147897136853,-122.43796933900832,2.75,22.933333333333334,2.6518333333333333
37,Marina,Private room,213.63888888888889,36,147.0,2.138888888888889,165.13888888888889,86.0,371.3888888888889,2.5175544777225123,37.79997780455294,-122.43443786351583,5.777777777777778,26.38888888888889,3.183888888888889
38,Marina,Shared room,547.2,5,136.0,1.4,177.0,91.8,1580.0,2.0336539928853705,37.80174798,-122.42871657999999,7.6,52.8,5.144
39,Mission,Entire home/apt,301.5916230366492,191,68.79581151832461,9.863874345549739,115.42408376963351,257.2303664921466,2343.502617801047,1.025481678105735,37.75808658560226,-122.41672936566285,1.942408376963351,13.481675392670157,1.3444502617801048
40,Mission,Private room,113.03389830508475,118,108.60169491525424,9.889830508474576,121.63559322033899,194.79661016949152,965.2627118644068,1.6951813139167597,37.75788167983864,-122.41650729523775,3.4661016949152543,15.94915254237288,1.6126271186440677
41,Nob Hill,Entire home/apt,296.3333333333333,66,40.21212121212121,11.287878787878787,134.77272727272728,185.71212121212122,2601.878787878788,0.4938175209016174,37.79224544276014,-122.41368594733878,12.484848484848484,9.651515151515152,1.1313636363636363
42,Nob Hill,Private room,112.18571428571428,70,27.52857142857143,1.2142857142857142,207.5857142857143,173.04285714285714,150.65714285714284,0.450171832250939,37.790816212449165,-122.41858544877088,65.67142857142858,14.714285714285714,1.3695714285714287
43,Nob Hill,Shared room,43.0,1,211.0,1.0,0.0,46.0,43.0,4.586956521739131,37.79298,-122.42124,12.0,47.0,4.06
